iter	MultiClass
155	0.4721541529
156	0.4711633347
157	0.4707118037
158	0.4691157981
159	0.4681178995
160	0.4673192729
161	0.466532108
162	0.465348712
163	0.4643281238
164	0.4634444744
165	0.4626074844
166	0.4612354433
167	0.4596433098
168	0.4588653505
169	0.4581760442
170	0.4574735761
171	0.4569228488
172	0.4560035396
173	0.4554737871
174	0.4547677043
175	0.453692686
176	0.452798765
177	0.4516341763
178	0.4511066337
179	0.4499219202
180	0.4490750298
181	0.4483344913
182	0.4477102576
183	0.447198233
184	0.4466595255
185	0.4456984453
186	0.4450107465
187	0.4440319683
188	0.4433325792
189	0.4422415613
190	0.4417697829
191	0.441143827
192	0.4404649861
193	0.4398146503
194	0.4389668895
195	0.4381451099
196	0.4375109864
197	0.4369001339
198	0.4362462212
199	0.4355862248
200	0.4345978392
201	0.4340524555
202	0.4333718397
203	0.4324387445
204	0.4317972591
205	0.4312263015
206	0.4305252265
207	0.430159525
208	0.4291454289
209	0.4286676783
210	0.4280270577
211	0.4269206741
212	0.4260592725
213	0.4255851013
214	0.4249297491
215	0.4242368893
216	0.4234888348
217	0.4228903174
218	0.4224679336
219	0.4219164809
220	0.4211292201
221	0.4198330091
222	0.4191600631
223	0.4183986712
224	0.4176378844
225	0.4168268978
226	0.4163104094
227	0.4154593107
228	0.4143205907
229	0.4139096821
230	0.4134292611
231	0.4129780892
232	0.4124230408
233	0.411417378
234	0.4103840262
235	0.4098826557
236	0.4093802795
237	0.4086780512
238	0.4081953754
239	0.407899556
240	0.40741655
241	0.4067898964
242	0.4058500368
243	0.4054865583
244	0.4048184627
245	0.4039761272
246	0.4034116194
247	0.402878564
248	0.4020869068
249	0.4014647437
250	0.4009357861
251	0.4006709401
252	0.4001714535
253	0.3989833512
254	0.398409913
255	0.397934122
256	0.3972706257
257	0.3963942982
258	0.3960001837
259	0.3950447309
260	0.3946342738
261	0.3941103932
262	0.3937094722
263	0.3928678499
264	0.3923166936
265	0.3921249942
266	0.3913520537
267	0.3904789563
268	0.389964478
269	0.3893504092
270	0.3887595982
271	0.3880969475
272	0.3876556846
273	0.3871649977
274	0.3868641157
275	0.3866662067
276	0.3862278131
277	0.3860179542
278	0.3857662071
279	0.3854664417
280	0.3852198516
281	0.3843963262
282	0.3840562347
283	0.383425655
284	0.3831929195
285	0.3827952142
286	0.3820126824
287	0.3817736592
288	0.3811152827
289	0.380756654
290	0.3802249818
291	0.379447735
292	0.379116131
293	0.3786450153
294	0.3782821155
295	0.3775416725
296	0.3772757791
297	0.3766882604
298	0.3764457751
299	0.3760885468
300	0.3755870554
301	0.3752716933
302	0.3747478804
303	0.374409134
304	0.3737631851
305	0.3732790581
306	0.3729668449
307	0.3726885232
308	0.3723346335
309	0.371872711
310	0.3713721608
311	0.3712572485
312	0.3707706828
313	0.3704144249
314	0.3701629767
315	0.3699352442
316	0.3691449003
317	0.3686660745
318	0.368309145
319	0.3675313487
320	0.3668362203
321	0.366038429
322	0.3655647204
323	0.3649783297
324	0.3646179748
325	0.3640696626
326	0.3632057386
327	0.3627708817
328	0.3619577847
329	0.3616849801
330	0.3611391568
331	0.3605863126
332	0.360313461
333	0.3599471445
334	0.3591377157
335	0.3585134
336	0.3578035446
337	0.357390518
338	0.3568816991
339	0.356683238
340	0.3561169582
341	0.3557454801
342	0.3551463931
343	0.3546482935
344	0.3542755948
345	0.3540288605
346	0.3536397584
347	0.3533855799
348	0.3530573633
349	0.3527551125
350	0.3524282336
351	0.351854623
352	0.3514640444
353	0.3512157547
354	0.3508774005
355	0.3501147019
356	0.3499647033
357	0.3496546621
358	0.3491203015
359	0.3488073597
360	0.3485429931
361	0.34821551
362	0.3476533676
363	0.3470925357
364	0.3467851353
365	0.346450483
366	0.3460100315
367	0.3456067821
368	0.3451385454
369	0.3444332662
370	0.3439927523
371	0.34380549
372	0.343511437
373	0.3428955748
374	0.3426580311
375	0.3423888148
376	0.3420137987
377	0.3416593418
378	0.3413902024
379	0.3411889262
380	0.3409768136
381	0.3406539276
382	0.3403700995
383	0.3402522252
384	0.3398435533
385	0.3395576692
386	0.339359625
387	0.3390998551
388	0.3388922305
389	0.3386811496
390	0.3381609491
391	0.3377588791
392	0.3372684941
393	0.3368106689
394	0.3363266594
395	0.3358044669
396	0.3353254926
397	0.3349240271
398	0.3343451531
399	0.3339681588
400	0.33338226
401	0.3331591925
402	0.3328962986
403	0.3324750536
404	0.3322059245
405	0.3318943018
406	0.3311664987
407	0.3307083616
408	0.3303905776
409	0.3301410859
410	0.329941847
411	0.3294052321
412	0.3289324419
413	0.3284571689
414	0.3281537551
415	0.3278111601
416	0.3275314462
417	0.327010115
418	0.3265404967
419	0.3259434703
420	0.3257041249
421	0.3252896539
422	0.3250100251
423	0.3246139978
424	0.3244733758
425	0.3241810899
426	0.324026358
427	0.3233479039
428	0.3230561028
429	0.3225152519
430	0.3223470037
431	0.3219261547
432	0.3214524967
433	0.3210838634
434	0.3208144347
435	0.3205923012
436	0.3197499673
437	0.3191377264
438	0.3186488142
439	0.3182864491
440	0.3179432494
441	0.31744963
442	0.3170740071
443	0.316489039
444	0.3162367503
445	0.3159003053
446	0.3156934181
447	0.3154074888
448	0.3151359836
449	0.3149236423
450	0.3145596928
451	0.3143288082
452	0.3141019369
453	0.3138317967
454	0.313482237
455	0.3131180383
456	0.312843267
457	0.3127346322
458	0.3122790656
459	0.3120558393
460	0.3116122021
461	0.3113857148
462	0.3111470727
463	0.3108863976
464	0.3107146221
465	0.3105494159
466	0.3102726085
467	0.3100409667
468	0.3095728902
469	0.3093014456
470	0.3091564935
471	0.308869503
472	0.3085582292
473	0.3080955002
474	0.3076824126
475	0.3072471745
476	0.3069356171
477	0.3066973305
478	0.3061871755
479	0.3059077593
480	0.3054715771
481	0.3051900046
482	0.3049500554
483	0.3046050317
484	0.3043377597
485	0.3042021935
486	0.3038881677
487	0.3035923246
488	0.3033956094
489	0.30333167
490	0.3030276489
491	0.3027681119
492	0.3025883516
493	0.3024114431
494	0.3021063271
495	0.3017243818
496	0.3013378187
497	0.3010388125
498	0.3007125903
499	0.3003480265
500	0.2999873525
501	0.2995736327
502	0.2994127921
503	0.2991275702
504	0.2987887109
505	0.2984966245
506	0.2981029702
507	0.2978739738
508	0.2975759331
509	0.2972605799
510	0.2969900166
511	0.2966889579
512	0.2963285832
513	0.2961024024
514	0.2957216435
515	0.2955388885
516	0.2950597645
517	0.2948693199
518	0.2945306056
519	0.2942800704
520	0.2940248127
521	0.2937667112
522	0.2935964676
523	0.2932803662
524	0.2930520119
525	0.2928717765
526	0.2926591567
527	0.2921777743
528	0.2918267313
529	0.2916733097
530	0.2913323582
531	0.291086431
532	0.2909113054
533	0.2906275353
534	0.2903099562
535	0.2901115978
536	0.2897269377
537	0.2893143426
538	0.2891584524
539	0.2889021768
540	0.2886264294
541	0.2885027736
542	0.2881416121
543	0.2877320556
544	0.2874649995
545	0.2870281942
546	0.2867229105
547	0.2864661725
548	0.2862743386
549	0.2858523435
550	0.2857563269
551	0.2856409882
552	0.2853695575
553	0.2850480234
554	0.2847692481
555	0.2846318256
556	0.284291486
557	0.2841484638
558	0.2839689915
559	0.2836516817
560	0.2834485776
561	0.282945055
562	0.2826117944
563	0.2823409001
564	0.2820840887
565	0.2818940586
566	0.2816750525
567	0.2813310484
568	0.2809922186
569	0.2806168079
570	0.2801421155
571	0.279914305
572	0.2797168905
573	0.2795475113
574	0.2793242362
575	0.2790109213
576	0.2787044728
577	0.2784089155
578	0.2779509319
579	0.2777918107
580	0.2774512308
581	0.2772598486
582	0.2769712655
583	0.276751543
584	0.2763229526
585	0.2761062763
586	0.2759377478
587	0.2756435835
588	0.2754175452
589	0.2753392141
590	0.2751922943
591	0.2748644766
592	0.2746076567
593	0.2744496736
594	0.2743099213
595	0.2740693849
596	0.2739536122
597	0.2738082671
598	0.2736147341
599	0.2734116568
600	0.273046931
601	0.272860932
602	0.2726545482
603	0.2723640743
604	0.2720857924
605	0.2718441221
606	0.2716615823
607	0.2715133621
608	0.2713036375
609	0.2710279884
610	0.2708194331
611	0.2706324964
612	0.2704574605
613	0.2702123317
614	0.2698672128
615	0.269678895
616	0.2693565908
617	0.269246513
618	0.2690583176
619	0.2689665604
620	0.2685515076
621	0.2682980834
622	0.2681487048
623	0.2679386584
624	0.2676075359
625	0.2673326318
626	0.2671021354
627	0.2668907751
628	0.266656283
629	0.2665530611
630	0.2664374649
631	0.2662581513
632	0.2660714779
633	0.2658355914
634	0.2654111887
635	0.2651148897
636	0.2648166156
637	0.2645596732
638	0.2644468428
639	0.2640969698
640	0.2640095257
641	0.2637680487
642	0.2634261793
643	0.2631835081
644	0.2629789669
645	0.2628892606
646	0.2625861395
647	0.2623433078
648	0.2620645496
649	0.2619508699
650	0.2618059466
651	0.2616930069
652	0.2613172739
653	0.261148244
654	0.2610117923
655	0.2606085169
656	0.2604763484
657	0.2602106613
658	0.2600498258
659	0.2598149946
660	0.2596490337
661	0.2593669701
662	0.2592051859
663	0.2589205548
664	0.25866754
665	0.2585030304
666	0.2582334896
667	0.2579666371
668	0.2576565211
669	0.2573211209
670	0.2571041286
671	0.2569415998
672	0.2568042258
673	0.2564996073
674	0.2561149607
675	0.2559351056
676	0.2557706944
677	0.2555326099
678	0.2553217039
679	0.2551143951
680	0.2550070073
681	0.2548761736
682	0.254545889
683	0.254413501
684	0.2543023327
685	0.254097112
686	0.2539159955
687	0.2535985085
688	0.2534031693
689	0.2533195955
690	0.25322948
691	0.2529289969
692	0.2526612657
693	0.2525919457
694	0.2524942334
695	0.2523088128
696	0.2521275527
697	0.2520289255
698	0.2518772484
699	0.2517414027
700	0.2515741316
701	0.251438184
702	0.2512470616
703	0.2510230225
704	0.2508122396
705	0.2505941535
706	0.250448364
707	0.2501211309
708	0.249926114
709	0.249818899
710	0.2495996149
711	0.2494443339
712	0.2492382705
713	0.2488372109
714	0.2487391712
715	0.2486166936
716	0.2484883667
717	0.2482853525
718	0.2480824267
719	0.2478828985
720	0.2476181919
721	0.2474689894
722	0.247141697
723	0.2469267918
724	0.2467530738
725	0.2465776168
726	0.2463559627
727	0.2462428239
728	0.2461247932
729	0.2458624517
730	0.2457702121
731	0.2455271217
732	0.2452921907
733	0.2451892271
734	0.2450508037
735	0.2449215447
736	0.2446008479
737	0.2444771318
738	0.2441990243
739	0.2440494541
740	0.2438443319
741	0.2437200035
742	0.2436352724
743	0.2434251618
744	0.2432847922
745	0.2431793742
746	0.2430514271
747	0.2428748557
748	0.2427757679
749	0.2426657217
750	0.2425251212
751	0.2424176109
752	0.2422566993
753	0.2421372456
754	0.2418676328
755	0.2417131372
756	0.2415328994
757	0.2412775944
758	0.2411567298
759	0.2409681363
760	0.2408609511
761	0.2405593683
762	0.24036074
763	0.2402137433
764	0.2400200769
765	0.2398170343
766	0.2397133316
767	0.2395286341
768	0.2393527364
769	0.2392103298
770	0.2388823548
771	0.2385104076
772	0.2382892559
773	0.2381535029
774	0.238002575
775	0.2378557657
776	0.2377537205
777	0.2375022247
778	0.2373742142
779	0.2372181129
780	0.2370063341
781	0.2368013021
782	0.2366320912
783	0.2363980281
784	0.2360759945
785	0.2359717052
786	0.2358517248
787	0.2357310126
788	0.2355405912
789	0.235411232
790	0.2351382394
791	0.2349809745
792	0.2347351917
793	0.2345209425
794	0.2341883532
795	0.2340180021
796	0.233866286
797	0.2336563613
798	0.2335535345
799	0.2334374825
800	0.233294227
801	0.2330049872
802	0.2328558126
803	0.2325686151
804	0.2324573575
805	0.2323297978
806	0.2322553316
807	0.2320863082
808	0.23187314
809	0.2316811769
810	0.2314866362
811	0.2313166113
812	0.2310929752
813	0.230933508
814	0.2308113358
815	0.2306365956
816	0.2305392498
817	0.2303991498
818	0.2302656695
819	0.2301251366
820	0.2299596892
821	0.2297501744
822	0.2296902269
823	0.229540955
824	0.2293851517
825	0.2292220364
826	0.2291018746
827	0.2290292676
828	0.2288561955
829	0.2286800579
830	0.2284841651
831	0.2282698887
832	0.228097387
833	0.2278819057
834	0.2276799346
835	0.2275075688
836	0.2273403009
837	0.2271523711
838	0.227041174
839	0.2267996733
840	0.2266192315
841	0.2263960479
842	0.2263322456
843	0.2262288333
844	0.226125058
845	0.2259190276
846	0.2257333751
847	0.2255704452
848	0.2254229881
849	0.2252510215
850	0.2250227949
851	0.2246731593
852	0.2245205099
853	0.2243891969
854	0.2241373533
855	0.2240138658
856	0.2236189538
857	0.2234576567
858	0.2233387606
859	0.2231336347
860	0.223005761
861	0.2228199119
862	0.2225719186
863	0.2223662068
864	0.2222651138
865	0.2221011734
866	0.2219987866
867	0.2218233927
868	0.2217185284
869	0.2216360911
870	0.2213108763
871	0.2211094988
872	0.2210138586
873	0.2209067739
874	0.2207379204
875	0.2204108837
876	0.2203205243
877	0.2202336794
878	0.2201093369
879	0.2199890005
880	0.2198254617
881	0.2197313158
882	0.2196203742
883	0.2194563806
884	0.2193201332
885	0.2192363243
886	0.2190401807
887	0.2189273008
888	0.2188324945
889	0.2187180952
890	0.2184833214
891	0.2183584087
892	0.2181675172
893	0.2180651744
894	0.2179071659
895	0.2178182072
896	0.217697167
897	0.2175438112
898	0.2173535394
899	0.2171856656
900	0.216995859
901	0.2168739942
902	0.2167850665
903	0.21662092
904	0.216455809
905	0.2163339186
906	0.2161225681
907	0.2159340991
908	0.2157847964
909	0.2156781738
910	0.2155187781
911	0.2152168244
912	0.2149413511
913	0.2147122534
914	0.2146141388
915	0.2144121331
916	0.2143725174
917	0.2141197988
918	0.2138140655
919	0.2136464728
920	0.2134417141
921	0.2133308507
922	0.2132019704
923	0.2130263634
924	0.2128894737
925	0.2128175578
926	0.2126779637
927	0.2126051812
928	0.2124989344
929	0.2123844307
930	0.2122917529
931	0.2121566666
932	0.2120380522
933	0.2118458628
934	0.2117678628
935	0.2116617163
936	0.2114866926
937	0.2113770208
938	0.2112141259
939	0.2110952586
940	0.2109527402
941	0.2107842461
942	0.2106050562
943	0.2104296264
944	0.2102371237
945	0.2101619334
946	0.2100531692
947	0.2099508636
948	0.2098462571
949	0.2097233216
950	0.2094279821
951	0.2093260082
952	0.2092915196
953	0.2091427097
954	0.2090048524
955	0.2087080251
956	0.2086093367
957	0.208559107
958	0.2084349546
959	0.2082413057
960	0.2081153689
961	0.2080250993
962	0.2079777661
963	0.2078384689
964	0.207756615
965	0.2075510916
966	0.2073216146
967	0.207236135
968	0.2071759743
969	0.2071060932
970	0.2069368939
971	0.20680826
972	0.2067135625
973	0.2065233794
974	0.20625373
975	0.206015064
976	0.2057031493
977	0.2054917211
978	0.2053436826
979	0.2052814438
980	0.2051888256
981	0.2050515522
982	0.2049396994
983	0.204768617
984	0.2047234466
985	0.204631199
986	0.2045262362
987	0.2044681799
988	0.204327942
989	0.2042301431
990	0.2039910135
991	0.2038509584
992	0.2036256515
993	0.2035609821
994	0.2034850804
995	0.2033831545
996	0.2032012555
997	0.2030095118
998	0.2029448572
999	0.2028424864
