iter	Passed	Remaining
408	5076	7335
409	5093	7329
410	5104	7315
411	5117	7304
412	5129	7290
413	5141	7278
414	5153	7264
415	5164	7250
416	5177	7238
417	5190	7227
418	5204	7216
419	5216	7204
420	5231	7194
421	5245	7184
422	5258	7173
423	5270	7159
424	5283	7148
425	5295	7135
426	5307	7121
427	5319	7109
428	5331	7096
429	5343	7083
430	5354	7069
431	5365	7054
432	5376	7040
433	5389	7028
434	5401	7015
435	5411	7000
436	5424	6988
437	5436	6975
438	5448	6963
439	5466	6957
440	5480	6946
441	5493	6935
442	5506	6923
443	5518	6910
444	5531	6898
445	5543	6885
446	5553	6870
447	5565	6857
448	5575	6842
449	5588	6830
450	5600	6817
451	5610	6802
452	5623	6789
453	5637	6779
454	5651	6768
455	5663	6756
456	5673	6741
457	5683	6725
458	5697	6715
459	5708	6701
460	5721	6689
461	5733	6676
462	5743	6661
463	5755	6648
464	5765	6633
465	5777	6620
466	5789	6608
467	5801	6595
468	5814	6582
469	5827	6571
470	5840	6559
471	5856	6551
472	5869	6539
473	5880	6525
474	5892	6512
475	5905	6500
476	5919	6490
477	5932	6478
478	5944	6465
479	5955	6451
480	5966	6437
481	5976	6423
482	5989	6410
483	6001	6397
484	6013	6385
485	6026	6374
486	6039	6362
487	6052	6349
488	6063	6336
489	6076	6324
490	6089	6312
491	6103	6301
492	6115	6289
493	6127	6276
494	6139	6263
495	6155	6254
496	6169	6243
497	6181	6231
498	6196	6221
499	6208	6208
500	6222	6198
501	6236	6186
502	6247	6173
503	6260	6161
504	6273	6149
505	6285	6136
506	6299	6125
507	6312	6113
508	6324	6100
509	6337	6088
510	6351	6078
511	6362	6064
512	6375	6052
513	6386	6038
514	6400	6027
515	6412	6014
516	6426	6004
517	6438	5991
518	6450	5978
519	6463	5965
520	6473	5951
521	6484	5937
522	6496	5924
523	6509	5912
524	6519	5898
525	6530	5885
526	6545	5874
527	6557	5861
528	6566	5846
529	6579	5834
530	6591	5821
531	6603	5809
532	6616	5796
533	6630	5786
534	6641	5772
535	6653	5760
536	6665	5746
537	6676	5733
538	6688	5720
539	6699	5707
540	6709	5692
541	6722	5680
542	6734	5667
543	6746	5655
544	6759	5643
545	6770	5630
546	6784	5618
547	6800	5608
548	6813	5597
549	6826	5585
550	6836	5571
551	6848	5558
552	6859	5545
553	6873	5533
554	6885	5520
555	6897	5508
556	6913	5498
557	6925	5486
558	6938	5473
559	6950	5460
560	6964	5449
561	6977	5438
562	6990	5426
563	7004	5414
564	7015	5401
565	7027	5388
566	7038	5375
567	7054	5365
568	7069	5354
569	7082	5342
570	7095	5330
571	7106	5317
572	7116	5303
573	7129	5291
574	7141	5278
575	7155	5267
576	7170	5256
577	7181	5243
578	7197	5233
579	7209	5221
